Album,Song,Lyrics
Icarus Falls,Still Got Time,"Just stop lookin' for love
Girl, you're young, you still got time
Girl, you're young, you still got time
Girl, you're young, you still got
Just stop lookin' for love
You still got time
Girl, you're young, you still got time
Girl, you're young, you still got time This could be something if you let it be something
Don't scare me away
Turning somethings into nothing, babe
You're already used to the games, babe
You play your role and I play the same Come give it to me, yeah, ah, yeah
Come give it to me, play by play
I could tell you've been bored all day
'Cause you're young and you still got time
Don't waste your time
We been wasting away, ah, yeah
And no matter what you say, ah, yeah
That smile gon' take you places
And I know you wanna see some faces Just stop lookin' for love
Girl, you're young, you still got time
Girl, you're young, you still got time
Girl, you're young, you still got
Just stop lookin' for love
You still got time
Girl, you're young, you still got time
Girl, you're young, you still got time (Look) I know I'm working my magic
And I know you diggin' my fabric
I'm boyfriend material
You said it yourself, you digging me
And I'd be lying if I said it wasn't equally (Equally, babe)
A feeling that we both feel
Something that is so real
But I got to let you kno-o-ow slo-owly
Well, it may be truthfully
But you just gotta stop looking for it Come give it to me, yeah, ah, yeah
Come give it to me, play by play
I could tell you've been bored all day
'Cause you're young and you still got time
Don't waste your time
We been wasting away, ah, yeah
And no matter what you say, ah, yeah
That smile gon' take you places
And I know you wanna see some places Just stop lookin' for love
Girl, you're young, you still got time
Girl, you're young, you still got time
Girl, you're young, you still got
Just stop lookin' for love
You still got time
Girl, you're young, you still got time
Girl, you're young, you still got time This could be something, yeah
This could be
This could be something
If you let it be something
It could be something, yeah
This could be
This could be something, yeah
If you let it be something
Right now I wanna see ya Come give it to me, yeah, ah, yeah
Come give it to me, play by play
I could tell you've been bored all day
'Cause you're young and you still got time
Don't waste your time
We been wasting away, ah, yeah
And no matter what you say, yeah
That smile gon' take you places
And I know you wanna see some places Just stop lookin' for love
Girl, you're young, you still got time
Girl, you're young, you still got time
Girl, you're young, you still got
Just stop lookin' for love
You still got time
Girl, you're young, you still got time
Girl, you're young, you still got"
Icarus Falls,Dusk Till Dawn,"Not tryna be indie
Not tryna be cool
Just tryna be in this
Tell me, are you too?
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room? 'Cause I wanna touch you, baby
And I wanna feel you too
I wanna see the sun rise on your sins
Just me and you Light it up, on the run
Let's make love tonight
Make it up, fall in love, try
(Baby, I'm right here) But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here I'll be with you from dusk till dawn
Baby, I'm right here We were shut like a jacket
So do your zip
We would roll down the rapids
To find a wave that fits
Can you feel where the wind is?
Can you feel it through
All of the windows
Inside this room? 'Cause I wanna touch you, baby
I wanna feel you too
I wanna see the sun rise on your sins
Just me and you Light it up, on the run
Let's make love tonight
Make it up, fall in love, try
(Baby, I'm right here) But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
Girl, give love to your body But you'll never be alone
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here
I'll hold you when things go wrong
I'll be with you from dusk till dawn
I'll be with you from dusk till dawn
Baby, I'm right here I'll be with you from dusk till dawn
Baby, I'm right here
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
It's only you that can stop it
Girl, give love to your body
Girl, give love to your body"
Nobody Is Listening ,Calamity,"Nostalgia, what a funny feelin'
I feel depleted from feelings I've been revealin'
It's do or die, I'm not goin' willing
But when it's time, wrap in white linen
I rap this, I say it for my sanity
Whatever the calamity, I did this for myself
Fuck all of your fantasies
You're a snake, fell off the ladder
I prefer speakin' in analogies
I've had enough of all this wet
And I can't trust that you're my family
I don't know what's next
The brain dead that I never miss
My brain lives with the cannabis
Can I resist the dark abyss?
Leave a mark on this with no start, just exist
My mind's in a prism shape
And in times like a prison state
There's no right that I feel of late
There's no light if my view's at stake
And which life should I choose to take?
What's left, is it room or space?
There are rumours we have to face
I prefer sooner than after late
I seen actors after BAFTA's be more straight
I mean down the barrel
I hear 'em sing, it's the same carol
They're tryna sprint in a long run, Mo Farah
They're tryna fix when it's long gone, don't bother
There's no other, the thought shudders through most lovers
I wanna bed you, but still sleep is death's cousin
So two weeks is now four dozen
Years that pass by, can't press no rewind
Just watch my life by and lock the right ties Nobody, nobody-ayy is listenin' to me
Nobody, nobody-ayy is listenin'
Nobody, nobody-ayy is listenin' to me
Nobody, nobody-ayy is listenin' to me"
Nobody Is Listening ,Better ,"Hope I only leave good vibes on your living room floor
It hurts so bad that I didn't when you asked for more
Your dad probably loves me more than he ever did now
'Cause I finally got out
Yeah, we finally knocked down 'Cause sometimes it's better that way
Gotta let it go so your heart don't break
'Cause I love you
Yeah, baby, I love you
Just this one time, hear what I'm tryna say
Know you might not feel quite the same way
But I love you
I tell you, I love you Why? Why wait to fight?
Give it a try
Oh, I say goodbye while it's right
Can we save tears in your eyes?
I'm making you cry
Why wait to hate? Can we save love? I fell in, I'm falling, I'm for you
I can't let you fall through the floor too
It's a gamble to take any more of you
(It's a gamble to take-take more you)
Still in my mind sometimes, I must admit it  Like it's a crime, on trial, I got acquitted
Me and you wasn't meant, we wasn't fitted
Like it's a glove, I hated to admit it 'Cause obviously, we go back
So why would we ruin that?
In too deep, we're rearranged
Now you wanna ask for names
We can't let this fruit go bad
Sayin' things we can't take back
In too deep, we're rearranged
Say you feel the same Why? Why wait to fight?
Give it a try
Oh, I say goodbye while it's right
Can we save tears in your eyes?
And watching you cry
Why wait to hate, can we save love?"
Nobody Is Listening ,Outside,"Oh, yeah
Oh, yeah, yeah, yeah
Oh, yeah, yeah, yeah
Oh, oh, oh Two wrongs make no right
When it's left, at least we tried (Oh)
I'll be back tonight (Oh, yeah)
I'll let you decide To leave my life outside
Leave my life outside
Leave my life outside
Or let me in, or let me in I know I'm always in my head
But some things, they must be said
Hurts me when I think about it
Someone else bein' in your bed
I know I'm not so innocent
But the love I had for you was real
Hope it hurts you when you think about it
The both of us just have to dip T-shirt that you're wearing, that's my favorite
First time that I touched you, you could save it Two wrongs make no right
When it's left, at least we tried (Oh)
I'll be back tonight (Oh, yeah)
I'll let you decide To leave my life outside
Leave my life outside
Leave my life outside
Or let me in, or let me in It wasn't all bad, now, was it?
All the things that we've been through
The way you snuck out of your parents'
Just you and me up on the roof
We didn't have much, but, yeah, we did it
Starin' at the perfect view
Do I keep the dog or do you want him?
When I look at him, I think of you The T-shirt that you're wearing, that's my favorite
Damn, I really thought that we would make it, yeah Two wrongs make no right
When it's left, at least we tried (At least we tried, yeah)
I'll be back tonight (I'll be back)
I'll let you decide So leave my shit outside
Leave all of my shit outside
Leave my life outside
Oh-oh, or let me in"
Nobody Is Listening ,Vibez,"Don't keep me waitin' (Ooh, ooh)
I been waitin' all night to get closer
And you already know I got it for ya (Ooh, ooh)
You know the vibes, know the vibes
Put it on ya (Ooh)
If we're movin' too fast, we can slow up
Baby, this far from mediocre (No)
You know the vibes, know the vibes It's you and me here in this room
Imaginin' things we could do
Won't tell no lies, no lies to you
I need you here, I need you here
Mind runnin' wild, we touchin' slow
Just say the word, I'm ready to go, oh
Anticipation plays after four
I need you now Baby, I'ma get you right, I will (I will)
When I touch you, tell me how it feel (It feel)
Trust me, I'ma make it feel surreal (Ooh, ooh)
Baby, mind of mine
I'ma do all the things
Type of things that happen in your dreams
Get you right where you need to be (Ooh, ooh)
Just don't keep me Don't keep me waitin' (Ooh, ooh)
I been waitin' all night to get closer
And you already know I got it for ya (Ooh, ooh)
You know the vibes, know the vibes
Put it on ya
If we're movin' too fast, we could slow up (Too fast)
Baby, this far from mediocre (No)
You got the vibes, got the vibes (Mmm) If I'm movin' too fast, too fast
Oh, oh-oh, mmm (Ooh, ooh), mmm, oh (Ooh, ooh) Baby, I'ma get you right, I will (I will)
When I touch you, tell me how it feel (It feel)
Trust me, I'ma make it feel surreal (Ooh, ooh)
Baby, mind of mine
I'ma do all the things
Type of things that happen in your dreams
Get you right where you need to be (Ooh, ooh)
Just don't keep me (Don't keep me waitin') Don't keep me waitin'
I been waitin' all night to get closer
Yeah, you already know I got it for ya (Ooh)
You know the vibes, know the vibes (Vibes)
Put it on ya (Ooh)
If we're movin' too fast, we could slow up
Baby, this far from mediocre (No)
You got the vibes, got the vibes"
Nobody Is Listening ,When Love's Around,"Mm, ever been in love?
Ever really loved someone?
People tend to rush
People tend to run to love
Only takes a woman
To show you what it means to love, love I'm missin' you tonight, yeah (Yeah, yeah, yeah)
I'm wishin' you were right here
'Cause when love's around
'Cause when love's around (Yeah, oh-oh, oh)
Never feels right
Never feel that type of way
But I need you in my life
Yeah, you could be my wife for real
Only takes a woman
To show you what it means to love (Love)
To love I'm missin' you tonight, yeah (Yeah, yeah, yeah)
I'm wishin' you were right here
'Cause when love's around
'Cause when love's around
'Cause when love's around
'Cause when love's around Keep me up until the mornin'
You could see it in my aura
You've been givin' it your all and I'm fallin' for you
Keep me up until the mornin'
You could see it in my aura
You've been givin' it your all and I'm fallin' for you 'Cause when love's around
'Cause when love's around
'Cause when love's around
'Cause when love's around
'Cause when love's around"
Nobody Is Listening ,Connexion,"Funny when you come to mind
That's when you hit me up
That's when we feel a little closer
Just when I started thinkin'
It's like a force we can't explain
Work like a magnet, babe
I thought of you in the next moment
Givin' me that feelin' Could be my suspicion
Maybe I'm just out here overthinkin' (Thinkin'), oh, oh (Oh, oh, oh, oh)
Like you come into the picture
When I start to feel like something's missin' (Missin'), oh, oh-ooh I don't wanna miss out on another love
So I'm gonna dive right in
Go head first into the unknown (The unknown, the unknown)
Like it's all I know (Like it's all I know)
Baby, could you keep it up?
Don't wanna stop at words, ain't enough
Feels just like a drug
It really fuck me up Call it (Ooh-ooh-ooh, ooh-ooh)
A digital (Ooh-ooh-ooh, ooh-ooh, ooh)
But physical (Ooh-ooh-ooh, ooh-ooh)
Connection (Yeah, yeah)
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connection Love you every single night
That's when I feel your love
That's when I take your clothes off
Can we stay in the bedroom?
'Cause you're always on my brain
I can't get away
Leavin' for you next mornin'
Give into the feelin' Could be my suspicion
Maybe I'm just out here overthinkin' (Thinkin'), oh, oh (Oh, oh)
Like you come into the picture
When I start to feel like something's missin' (Missin'), oh, oh-ooh I don't wanna miss out on another love
So I'm gonna dive right in
Go head first into the unknown (The unknown, the unknown)
Like it's all I know (Like it's all I know)
Baby, could you keep it up?
Don't wanna stop and words ain't enough
Feels just like a drug (Drug, drug)
It really fuck me up (Ooh) Call it (Ooh-ooh-ooh, ooh-ooh)
A digital (Ooh-ooh-ooh, ooh-ooh, ooh)
But physical (Ooh-ooh-ooh, ooh-ooh)
Connection (Yeah, yeah)
Call it (Ooh, ooh-ooh, ooh-ooh, ooh)
A digital (Ooh, ooh-ooh, ooh-ooh, ooh)
But physical (Ooh, ooh-ooh, ooh-ooh, ooh)
Connection"
Nobody Is Listening ,Sweat,"Stayin' up for you
Day and night for you
We've been losing track of time
Reaching higher heights
Only one thing on my mind
Only one thing on your mind Let me touch you where you like it
Let me do it for ya
Give you all of my attention
Dive into that ocean of your love, oh
Let me show you just how much I want ya Oh, drippin' down your body like gold
Slowly steamin' up the windows
My skin on your skin, again and again
Sweat for me, sweat for me
Oh, love it when I tear off your clothes
Slowly steamin' up the windows
My skin on your skin, again and again
Sweat for me, sweat for me Damn, I could get lost in a heartbeat
Damn, I can't get over your body
Can't take my eyes off you, baby
Let me love you, baby Let me touch you where you like it
Let me do it for ya
Give you all of my attention
Dive into that ocean of your love, oh
Let me show you just how much I want ya Oh, drippin' down your body like gold
Slowly steamin' up the windows
My skin on your skin, again and again
Sweat for me, sweat for me Oh, I could get lost in a heartbeat
I can get lost in your body
Can't take my eyes off you, baby
Let me love you, baby Oh, drippin' down your body like gold
Slowly steamin' up the windows
My skin on your skin, again and again
Sweat for me, sweat for me
Oh, love it when I tear off your clothes
Slowly steamin' up the windows
My skin on your skin, again and again
Sweat for me, sweat for me"
Nobody Is Listening ,Unfuckwithable,"I'm unfuckwithable
In a world of my own
That's why my shoulder's so cold
I'm unfuckwithable So tired of fake friends and fake love, you know
No time for no lie and I'm here to show
I found a way higher
Me is all I need to be inspired
My vibe and my life are all my design
Your sentiment's irrelevant
'Cause I get down and up again
'Cause I had the time of my life I'm just unfuckwithable
In a world of my own
That's why my shoulder's so cold
I'm unfuckwithable Can't nobody take me home
Yeah, I'm worth my weight in gold
Forget whatever you've been told
I am unfuckwithable, unfuckwithable They all said I wouldn't do shit
Now they all about my new shit
Thinkin' we were always cool when
I was never even all on your mind
Happens all the time
You probably thought
I couldn't turn water to wine
Water to wine, happens all the time I'm unfuckwithable
In a world of my own
That's why my shoulder's so cold
I'm unfuckwithable"
Nobody Is Listening ,Windowsill,"Fuckin' on the countertop, window to the floor
She been on my mind, I swear she the type to roll
She with me when I flow
She with me when I don't
Fuckin' on the countertops, elevated her
She could rob me blind, I'd give anything she want
I never let her know
So she come back for more Are you done yet? 'Cause I'm right here
Are you waitin' for the right time to call me back? Cigarettes and fuckin' on the windowsill
In my bed, yeah, tell me when you're gettin' here
Only thing I wanna know
Is how far away you are
Cigarettes and fuckin' on the windowsill
Break the glass, go and show me how you really feel
Cut me deep and sew it up
That's the way you show me love I see the way she lookin' like she lookin' in my soul
I ain't stoppin', maybe this could be the somethin' that I want
She with me when I flow
She with me when I don't
Fuckin' on the countertops, elevated her
She could rob me blind, I'd give anything she want
I never let her know
So she come back for more Are you done yet? 'Cause I'm right here
Are you waitin' for the right time to call me back? Cigarettes and fuckin' on the windowsill
In my bed, yeah, tell me when you're gettin' here
Only thing I wanna know
Is how far away you are
Cigarettes and fuckin' on the windowsill
Break the glass, go and show me how you really feel
Cut me deep and sew it up
That's the way you show me love Your cigarettes on the windowsill
You left here from the night before
I take one, never light it up
Night comes and I want you more
So I can play dumb
If the rain comes, it will more than pour
But I don't want no fake love
Just a real freak when I'm on the board
And I'm waitin', impatient, all I can do is man my station
When the body is that hot, it's a curse, damnation
And there ain't no salvation, this girl could walk through Hell
And I'm sure she'd tempt Satan if she ain't the devil herself Cigarettes and fuckin' on the windowsill
In my bed, yeah, tell me when you're gettin' here
Only thing I wanna know
Is how far away you are (How far away you are)
Cigarettes and fuckin' on the windowsill
Break the glass, go and show me how you really feel (Show me)
Cut me deep and sew it up
That's the way you show me love (How far away you are)"
Nobody Is Listening ,Tightrope,"Why's it gotta feel like I'm walkin' a tightrope?
Why you wanna see how far I fall?
'Cause I'm already up here and I got my eyes closed
And I ain't never fell from a love this tall Are you ready? 'Cause I'm ready to let go
Never thought that I'd be ready again
Guess there's somethin' 'bout the neon red glow
Got me thinkin' 'bout givin' all in Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you I'm sittin' with my legs across your torso
We are who we are when we're alone
Baby, I'm ready, any minute, we might fall
Lately, I feel like my grip is gone
But you got my arm Are you ready? 'Cause I'm ready to let go
Never thought that I'd be ready again
Guess there's somethin' 'bout the neon red glow
Got me thinkin' 'bout givin' all in Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you
Somethin' told me it was you"
Nobody Is Listening ,River Road,"We don't define each other
Stand on your own, be a pillar
Lay on my pillow
Ain't fairly new to each other
Call you my lover, drinks to my liver
I cried now a river full of tears Don't you ever hope for something else?
Don't you ever hope for something else? Breeze outside my window turned to color
Know that I will see the sun again
Leaves have turned into a tint of orange
Answers that will lie inside myself What will I leave behind me?
Where will I choose to go?
To tell the truth, I'm tired of falling
When I'm floating, I'm closer to you We can't control all the outcomes
Let go of the reins, ride the rhythm
Doubled my vision
Ain't fairly new to this feeling
Searchin' for meaning, still don't believe it
Stopped at the ceiling, all these years Lightly floating ecstasy
Don't you ever hope for something else? Breeze outside my window turned to color
Know that I will see the sun again
Leaves have turned into a tint of orange
Answers that will lie inside myself What will I leave behind me?
Where will I choose to go?
To tell the truth, I'm tired of falling
When I'm floating, I'm closer to you We don't define each other
Stand on your own, be a pillar
Lay on my pillow
Call you my lover, drinks to my liver
I cried now a river full of tears Don't you ever hope for something else?"
Room Under The Stairs,Dreamin,"One, two, three, go Let me mean it, what I say
I've been feelin'
Yeah, I'm dreamin' my life away
Just need to level with sky
It seems to live on my mind I've been dreamin', feelin' this way
I've been needin' something else
I'll know what it is when I see it
Can't hold on anymore to this feelin' With no senses, ain't no sentence
Makin' sense of us
Did I mention life's intention
Never steered me the right way?
Oh, I've been fallin' I've been dreamin', feelin' this way
I've been needin' something else
I'll know what it is when I see it
Can't hold on anymore to this feelin' Say I've been fallin' in love and in the mornin'
Then I feel nothing again
Please don't let me forget fallin' in love, it's all good
And in the mornin' then you call me again
Don't call me again, don't call me again
When you faded, no need to call me again
I've been feelin' I've been dreamin', feelin' this way
I've been needin' something else
I'll know what it is when I see it
Can't hold on anymore to this feelin'
I've been dreamin', feelin' this way
I've been needin' something else
I'll know what it is when I see it
Can't hold on anymore to this feelin' Yeah, I'm dreamin' my life away"
Room Under The Stairs,What I Am,"I've been drinking absinthe
I just did the math, it ain't adding up
I've had enough of running 'round this board game
You can know your own name, I won't give it up Am I crazy? Am I foolish?
Am I stupid for playin' these games with you? If I told you I loved you
Would you say that it's fucked up?
If I told you they're flyin'
Would you say that you looked up?
Don't take me for what I'm sayin'
Just take me for what I am
'Cause this is where I'm stayin'
My two feet are in the sand I've been readin' old shit and I can't make sense of it
Ain't no conspiracy that can save me
Livin' in the moment feels good to me till it hurts
And I need somebody Am I crazy? Am I foolish?
Am I stupid for playin' these games with you? If I told you I loved you
Would you say that it's fucked up?
If I told you they're flyin'
Would you say that you looked up?
Don't take me for what I'm sayin'
Just take me for what I am
'Cause this is where I'm stayin'
My two feet are in the sand Take me as I am
I'm tired of dancin' around the point
Sharp and it is jagged
Like the shape of glass and it steals my voice If I told you I loved you (Oh)
Would you say that it's fucked up?
If I told you they're flyin'
Would you say that you looked up? (Looked up)
Don't take me for what I'm sayin' (Don't)
Just take me for what I am
'Cause this is where I'm stayin'
My two feet are in the sand If I told you I loved you
Would you say that it's fucked up?
If I told you they're flyin'
Would you say that you looked up?
Don't take me for what I'm sayin' (Ooh)
Just take me for what I am
'Cause this is where I'm stayin'
My two feet are in the sand"
Room Under The Stairs,Grateful ,"I see your mother’s shine in your eye
I know that you’re mine and I'd cry
Tellin' you the things that are on my mind
When I think of you Yeah, I'm grateful for you
Love it when the rain comes down
Love it when the waves calm down
Yeah, I'm grateful for you These days I live to my depiction
Nowadays I'm findin' no affliction
These days I'm needin' no restriction
Feel like I'm finding new addiction And it feels good
And I knew it would
When I'm tellin' this story it's complicated
Some mishaps I've been mournin' but I'm grateful for it Yeah, I'm grateful for you
Love it when the rain comes down (Yeah, I love it)
Love it when the waves calm down (When you can come down)
Yeah, I'm grateful for you These days I live to my depiction
Nowadays I'm findin' no affliction
These days I'm needin' no restriction
Feel like I'm finding new addiction Things change and I'm okay with what I'm not
It feels wasteful to be hateful
I'll be grateful for what I got
Things change and I'm okay with what I'm not
Feels wasteful to be hateful
I'll be grateful with what I got These days I live to my depiction (Yeah, I'm grateful)
Nowadays I'm findin' no affliction (Yeah, I'm grateful)
These days I'm needin' no restriction (For you)
Feel like I'm finding new addiction (Yeah, I'm grateful)
These days I live to my depiction (Yeah, I'm grateful)
Nowadays I'm foundin' no affliction (Yeah, I'm grateful)
These days I'm needin' no restriction (For you)
Feel like I'm finding new addiction (Yeah, I'm grateful) Yeah, I'm grateful for you"
Room Under The Stairs,Alienated,"No two people are the same
Stand beside you, but just far enough away
Last night we were drinking
Tried to think away the pain
Made that age-old mistake
Tried to disconnect my body
From my soul, from my soul
See, I feel alright already on my own Can you let me be
Intoxicated on my own?
Do I need to answer
Or right my wrongs?
Am I home if I don't know this place? And I've been feeling alienated
On my spaceship alone
Say goodbye to the past
Leave it all with a laugh
'Cause you always was right all along Know my reasons for the pain
But if you brought it in front of me
I know I'd do it all again
Call them beer can gains
I know from all the years
That my feelings never change Can you let me be
Intoxicated on my own?
Do I need to answer
Or right my wrongs?
Am I home if I don't know this place? And I've been feeling alienated
On my spaceship alone
Say goodbye to the past
Leave it all with a laugh
'Cause you always was right all along Did the winds make the noise of change?
Can the wings on your skin help you fly away?
'Cause it's always raining
And the clouds are always grey when you're away Yeah, I've been feeling alienated
On my spaceship alone
Say goodbye to the past (Ayy, ayy)
Leave it all with a laugh
'Cause you always was right all along All along
Say goodbye to the past
Say goodbye
Ooh, ooh, ooh
Ah, ah-ah"
Room Under The Stairs,My Woman,"Love me partly, leave me tonight
Say, ""Don't fall in pieces,"" I might
Just for the fun of it
Let my mind just roll with it tonight Since the stone age
I've been stoned in
Livin' lonely, on my own
Then she came along
Made me believe
Made me believe, I wouldn't leave her
I'm finished wastin' my time
I'm livin' blurred like those lines I fill my cup to forget her
Known it from the get up
This is my demise
My demise is what's holdin' me
Grabbed a hold then took control of me
In my mind Love me partly, leave me tonight
Say, ""Don't fall in pieces,"" I might
Just for the fun of it
Let my mind just roll with it tonight Where did you wanna go?
Where did you stay last night?
Save my mind, save my time
Yeah, I know
I've been holdin' on to somethin'
For so long, mm, with no eyes
Yeah, I've been blind
I've been blind I fill my cup to forget her
I've known it from the get up
This is my demise Love me partly, leave me tonight
Say, ""Don't fall in pieces,"" I might
Just for the fun of it
Let my mind just roll with it tonight
Love me partly, leave me tonight
Say, ""Don't fall in pieces,"" I might
Just for the fun of it
Let my mind just roll with it tonight Just for the fun of it tonight"
Room Under The Stairs,How It Feels ,"I've been getting old standin' by the river
Watch the water move but I don't move with her Shivers down my spine
Never forget to remind me I'm alive Till I let go of this moment
Something holdin' me to this place
I've been breakin', always fakin'
I'm just lyin' to your face
And I can't tell you how it feels Can you tell me just one thing?
Can you give me a reason to stay?
'Cause the feelings I'm harborin' don't seem to
See the light of day Shivers down my spine
Never forget to remind me I'm alive Till I let go of this moment
Something holdin' me to this place
I've been breakin', always fakin'
I'm just lyin' to your face
And I can't tell you how it feels Bring me to my knees
I begged and pleaded
I asked to leave
But you insisted on stayin' and breakin' my heart
Breakin' my heart
Breakin' my heart
Breakin' my heart, yeah Till I let go of this moment
Something holdin' me to this place
I've been breakin', always fakin'
I'm just lyin' to your face
And I can't tell you how it feels Till I let go of this moment
Something holdin' me to this place"
Room Under The Stairs,Stardust,"Pretty Christmas on a cardboard cup
I wait outside for you to pick me up
There's somethin' different in the way you touch
Different in the way you love
Different in the way you love Feels like stardust
Floatin' all around us
Shootin' right across a
Big black sky
Feels like stardust
Fallin' all around us
Funny how it found us
Maybe I, maybe I
(Yeah, yeah, yeah, yeah) I found perfume in a magazine
Oh-oh, oh-oh
Far off places in the moonlit scene
Hey-hey-hey (Hey-hey-hey)
And I love to be there with you
And I love to be there, baby too
'Cause you make anywhere at all Feel like stardust
Floatin' all around us
Shootin' right across a
Big black sky
Feels like stardust
Fallin' all around us
Funny how it found us
Maybe I, maybe I
(Yeah, yeah, yeah, yeah) Feels like stardust
Floatin' all around us
Shootin' right across a
Big black sky
Feels like stardust
Fallin' all around us
Funny how it found us
Maybe I, maybe I
Maybe I"
Room Under The Stairs,Gates Of Hell,"So fucked, I can't feel my face
Know a couple people might call me a disgrace
But fuck them, I ain't looking up
Ain't never been one to give a second look I, I don't like you very much
But I keep putting up with your shit
I don't like you very much
But I keep putting up with your shit Yeah, we drift away like islands
And I wanna float on this wave
A different day, time and meaning
And I know I'd do it all the same I, I don't like you very much
But I keep putting up with your shit
I don't like you very much
But I keep putting up with your shit You always come to mind
When I think to myself
What could have been
If we were living in Utopia
You always come to mind I, I don't like you very much
But I keep putting up with your shit
I don't like you very much
But I keep putting up with your shit"
Room Under The Stairs,Birds On A Cloud,"So when I wake up today
Hopin' I don't feel the same as I did last night
Shit-faced, not knowin' which way is up
Or down, or sideways, I'm frownin' anyway Please give me one more day of happiness
I need it, I need it
Please give me one more day of happiness
I need it, I need it
Please give me one more day 
I need it, I need it Wake up and bake up again
Fight and hope we make up again
Know when something's wrong, but somethin' inside tells me it's all okay
Even if it's strange, it's our love Please give me one more day of happiness
I need it, I need it
Please give me one more day of happiness
I need it, I need it When I think of things lost, think I fell off
Took my foot off the pedal
Think it's all suss and once I make a fuss
I don't need any medals Please give me one more day of happiness
I need it, I need it
Please give me one more day of happiness
I need it, I need it
Please give me one more day From this place I'm runnin' from
I hope I kept my grace
From this place I'm runnin' from
I hope I kept my grace
From this place I'm runnin' from
I know I can't escape
I can't escape"
Room Under The Stairs,Concrete Kisses,"All I wanted was a cup of coffee
I got somethin' else or so it seems
Concrete kisses on my face and forehead
From where I fell last night on the street When I fell hard
All these scars on my skin where you left marks
When I fell hard
All these scars on my skin where you left marks This might not sound right, but it's alright, it's real
I'm finding my way on the highway this year Got a big ol' cup of shit, told me to drink it
Middle finger to what you believe
Beginnings have a habit of endin'
Purgatory, I'm stuck here in between This might not sound right, but it's alright, it's real
I'm finding my way on the highway this year Why does this pain feel so good?
Pumpin' my brain like drunk blood
Feeling this way, there's no such thing as happy endings
See on my face, my heart changed
Lovin' this place I've created
Realize that I'm too good for games we've been playin' This might not sound right, but it's alright, it's real
I'm finding my way on the highway this year"
Room Under The Stairs,False Starts,"Fast car, fast heart, trouble in my brain
Big dreams, false starts and I know I've changed
Don't want the things we can't have
Watchin' my life just roll past
Old rooms, new paint, still it looks the same
Sad thoughts, bad luck, with no one to blame
They say the trouble don't last
Sometimes the pain makes me laugh, oh, oh It's hard, but it only gets harder
Tonight we can go it alone Ooh, no one ever has to know
No one ever has to know
Ooh, no one ever has to know
But I know I have to go
Yeah, I'm shakin', my heart's naked
Out of control, oh-oh-oh, oh-oh-oh, oh-oh There's no more time, gotta get my way
What do you want? We don't have to stay
Trust me you're not gonna crash
They say that trouble don't last It's hard, but it only gets harder
Tonight we can go it alone Ooh, no one ever has to know
No one ever has to know
Ooh, no one ever has to know
But I know I have to go
Yeah, I'm shakin', my heart's naked
Out of control, oh-oh-oh, oh-oh-oh, oh-oh Before I leave a part of me behind
Before I leave a part of me behind Ooh, no one ever has to know (Before I leave a part of me behind)
No one ever has to know
Ooh, no one ever has to know (Before I leave a part of me behind)
But I know I have to go
Yeah, I'm shakin', my heart's naked
Out of control, oh-oh-oh, oh-oh-oh, oh-oh"
Room Under The Stairs,The Time,"Yesterday just came and went
And if today I wake up late, I won't forgive myself
'Cause time's running its own game
And I've rolled the dice too many times in my head Never fell for the fame thing
They fell in love with the same things
Let me know when the rain ends
See all I need is you Ain't it special? Ain't it precious?
The time that we have
When I'm laid in your bed and you tell me you love me Colours back in all my days
Build the structure, let it break
As long as it's good for your brain
Lessons learned is what I've gained
Feedin' families, forget the fame
I'm doing it now for a second name Never fell for the fame thing
They fell in love with the same things
Let me know when the rain ends
See all I need is you Ain't it special? Ain't it precious?
The time that we have
When I'm laid in your bed and you tell me you love me And I could cry when you tell me that you love me
When you're doing things you shouldn't be
And I lie for you
And I could cry when you tell me that you love me
And I'd die for you if you asked me to Ain't it special? Ain't it precious?
The time that we have
When I'm laid in your bed and you tell me you love me And when you tell me you love me
When you tell me you love me
When you tell me you love me
When you tell me you love me"
